Index   Energy(MeV)
1        -23.9345
2        -22.1231
3        -20.1736
4        -19.6395
5        -18.6455
6        -18.6161
7        -18.4922
8        -18.4149
9        -18.3961
10       -16.3385
11       -16.2359
12       -15.5399
13       -15.2217
14       -15.1334
15       -15.0437
16       -14.1021
17       -13.6637
18       -13.6543
19       -13.3640
20       -13.3510
21       -12.6228
22       -12.4242
23       -12.3395
24       -12.0633
25       -11.9509
26       -11.7226
27       -11.5033
28       -11.3489
29       -11.1992
30       -11.1649
31       -11.0071
32       -10.7746
33       -10.6041
34       -10.5156
35       -10.3479
36       -10.2596
37        -9.9078
38        -9.6157
39        -9.5604
40        -9.5195
41        -9.1535
42        -8.6365
43        -8.5941
44        -8.4876
45        -8.3007
46        -7.8067
47        -7.7119
48        -7.4856
49        -7.2419
50        -7.0344
51        -6.5424
