Index   Energy(MeV)
1        -42.3465
2        -37.3035
3        -36.2830
4        -34.9933
5        -34.1730
6        -34.0471
7        -32.8678
8        -31.9361
9        -31.4978
10       -30.1509
11       -30.0823
12       -29.9953
13       -29.4874
14       -29.2999
15       -29.1675
16       -28.7729
17       -28.5931
18       -28.3431
19       -28.0213
20       -27.4996
21       -27.1784
22       -26.8565
23       -26.8086
24       -26.6908
25       -26.5679
26       -26.4466
27       -26.4028
28       -26.0024
29       -25.5383
30       -25.4716
31       -25.0080
32       -24.6993
33       -24.3816
34       -24.3406
35       -23.8867
36       -23.3085
37       -23.2807
38       -23.2372
39       -23.0231
40       -22.8321
41       -22.6238
42       -22.5814
43       -22.5677
44       -21.8330
45       -21.6411
46       -21.4364
47       -21.2174
48       -21.1057
49       -20.7614
50       -20.1335
